starting mock
Seeing if tile is valid (q, r, s): (-4, 0, 4)
Seeing if tile is valid (q, r, s): (-4, 1, 3)
Seeing if tile is valid (q, r, s): (-4, 2, 2)
Seeing if tile is valid (q, r, s): (-4, 3, 1)
Seeing if tile is valid (q, r, s): (-4, 4, 0)
Seeing if tile is valid (q, r, s): (-3, -1, 4)
Seeing if tile is valid (q, r, s): (-3, 0, 3)
Seeing if tile is valid (q, r, s): (-3, 1, 2)
Seeing if tile is valid (q, r, s): (-3, 2, 1)
Seeing if tile is valid (q, r, s): (-3, 3, 0)
Seeing if tile is valid (q, r, s): (-3, 4, -1)
Seeing if tile is valid (q, r, s): (-2, -2, 4)
Seeing if tile is valid (q, r, s): (-2, -1, 3)
Seeing if tile is valid (q, r, s): (-2, 0, 2)
Seeing if tile is valid (q, r, s): (-2, 1, 1)
Considering tile (q, r, s): (-2, 1, 1)
Seeing if tile is valid (q, r, s): (-2, 2, 0)
Seeing if tile is valid (q, r, s): (-2, 3, -1)
Seeing if tile is valid (q, r, s): (-2, 4, -2)
Seeing if tile is valid (q, r, s): (-1, -3, 4)
Seeing if tile is valid (q, r, s): (-1, -2, 3)
Seeing if tile is valid (q, r, s): (-1, -1, 2)
Considering tile (q, r, s): (-1, -1, 2)
Seeing if tile is valid (q, r, s): (-1, 0, 1)
Seeing if tile is valid (q, r, s): (-1, 1, 0)
Seeing if tile is valid (q, r, s): (-1, 2, -1)
Considering tile (q, r, s): (-1, 2, -1)
Seeing if tile is valid (q, r, s): (-1, 3, -2)
Seeing if tile is valid (q, r, s): (-1, 4, -3)
Seeing if tile is valid (q, r, s): (0, -4, 4)
Seeing if tile is valid (q, r, s): (0, -3, 3)
Seeing if tile is valid (q, r, s): (0, -2, 2)
Seeing if tile is valid (q, r, s): (0, -1, 1)
Seeing if tile is valid (q, r, s): (0, 0, 0)
Seeing if tile is valid (q, r, s): (0, 1, -1)
Seeing if tile is valid (q, r, s): (0, 2, -2)
Seeing if tile is valid (q, r, s): (0, 3, -3)
Seeing if tile is valid (q, r, s): (0, 4, -4)
Seeing if tile is valid (q, r, s): (1, -4, 3)
Seeing if tile is valid (q, r, s): (1, -3, 2)
Seeing if tile is valid (q, r, s): (1, -2, 1)
Considering tile (q, r, s): (1, -2, 1)
Seeing if tile is valid (q, r, s): (1, -1, 0)
Seeing if tile is valid (q, r, s): (1, 0, -1)
Seeing if tile is valid (q, r, s): (1, 1, -2)
Considering tile (q, r, s): (1, 1, -2)
Seeing if tile is valid (q, r, s): (1, 2, -3)
Seeing if tile is valid (q, r, s): (1, 3, -4)
Seeing if tile is valid (q, r, s): (2, -4, 2)
Seeing if tile is valid (q, r, s): (2, -3, 1)
Seeing if tile is valid (q, r, s): (2, -2, 0)
Seeing if tile is valid (q, r, s): (2, -1, -1)
Considering tile (q, r, s): (2, -1, -1)
Seeing if tile is valid (q, r, s): (2, 0, -2)
Seeing if tile is valid (q, r, s): (2, 1, -3)
Seeing if tile is valid (q, r, s): (2, 2, -4)
Seeing if tile is valid (q, r, s): (3, -4, 1)
Seeing if tile is valid (q, r, s): (3, -3, 0)
Seeing if tile is valid (q, r, s): (3, -2, -1)
Seeing if tile is valid (q, r, s): (3, -1, -2)
Seeing if tile is valid (q, r, s): (3, 0, -3)
Seeing if tile is valid (q, r, s): (3, 1, -4)
Seeing if tile is valid (q, r, s): (4, -4, 0)
Seeing if tile is valid (q, r, s): (4, -3, -1)
Seeing if tile is valid (q, r, s): (4, -2, -2)
Seeing if tile is valid (q, r, s): (4, -1, -3)
Seeing if tile is valid (q, r, s): (4, 0, -4)
Considering tile (q, r, s): (1, -2, 1)
